動詞,,意味カテゴリ,主語,述語補足,ヲ格（対格）,タイプ,必須？,ニ格（与格）,タイプ,必須？,例文,例文補足,その他格助詞,メモ,シノニム,アントニム
滑らかだ,なめらかだ,,"変化 [1]
変化 [2]",ナ型形容詞,"
","
",F,"
",,F,"[1] 非通信車間制御と通信利用車間制御でそれぞれ出力する要求加速度の変化が滑らかになるよう、要求加速度を調節する。
[2] 通信利用車間制御と非通信車間制御でそれぞれ出力する要求加速度の変化が滑らかになるよう、要求加速度を調節する。","
","
",,,
適用する,てきようする,,"システム [1]




",,"




","




",ー,"

HV・コンベ [3]
バキュームタイプ・ECB [4]
あり・なし [5]
マルチインフォ・タブレットタイプ・ヘッドアップディスプレイ [6]",,ー,"[1] 今後の車種展開に対しても、適用可能なシステムであること。
[2] LPFの一例：（GVC生成時に車輪速微分値に適用するLPFと同様）
[3] エンジンシステムは、・HV・コンベに適用できること
[4] ブレーキシステムは、・バキュームタイプ・ECBに適用できること
[5] EPB（電動パーキングブレーキ）の・あり・なしに適用できること
[6] 通信車両存在の表示先が・マルチインフォ・タブレットタイプ・ヘッドアップディスプレイに適用できること","




","ニ,カラ [1]
ニ,カラ [2]



",,,
切り替わる,きりかわる,,"方法 [1]

非通信車間制御 [3]
なし [4]
過渡状態１：制御 [5]
制御 [6]
",自動詞,"





","





",F,"
ACC制御 [2]




非通信車間制御 [7]",,ー,"[1] 通信先行車の存在有無によって、追従の方法が、通信利用車間制御/非通信車間制御のいずれかで、自律的に切り替わるようにする。
[2] 車車間通信で先行車の走行情報が取得できないときは、自動でACC制御に切り替わるようにする。
[3] 通信利用車間制御と非通信車間制御が切り替わる際に、加速度の急変を防ぐため、滑らかに加速度を変化させている状態
[4] なお、制御がセットされていない場合は先行車特定の状態（正常/不確定/なし）のみ切り替わる。
[5] 過渡状態１：制御切り替わり時の加減速の急変防止
[6] 制御が切り替わる際に、加速度が急変しないこと
[7] 通信利用車間制御から非通信車間制御に切り替わる際に、加速度が急変しないこと","





","ニ,デ,カラ [1]
カラ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]
カラ [7]",,,
排除する,はいじょする,,,,データ化け,,T,,,,これは無線データのなりすましや、データ化けを排除するためである。,,"ニ,カラ",,,
制御する,せいぎょする,,"



こと [5]


",,"存在位置 [1]
無線通信 [2]
無線通信 [3]



状態 [7]
","






",ー,"


安全 [4]



",,ー,"[1] また、通信利用車間制御が実現できていない状態であっても、周辺に存在する通信利用車間制御可能な車両の存在位置を表示し、通信利用車間制御を実現する可能性があることを通知する。
[2] （15CYでは、無線通信を制御するITS_ECUで行う）
[3] （15CYでは、無線通信を制御するITS_ECUで行う）
[4] -　フィルタリング・・・登坂路走行時や、駆動系の出力ずれ、制動系の効きのずれ等による要求Gと実Gの定常的な差を吸収するための処理-　補正処理　　　・・・先行車との位置関係や後続車の走行状態に応じて、先行車の加減速量を調整する処理-　状態に応じた処理・・・センサ値の信頼性が低いとき（先行車不確定状態のとき）に加速を抑制し安全側に制御させる処理およびC-ACCとACCの間での遷移時の挙動の違和感を低減するための処理　　-　変化率制限　　・・・乗り心地向上・燃費向上のために、フィードフォワード加減速の変化量に制限を設ける処理
[5] ＜機能概要＞　・現在の制御状態をドライバに知らせることが目的　・後続車に対しては、-　通信利用車間制御を実施中であること（図4-7）-　通信利用車間制御可能な車両と自車の位置関係（図4-8）-　通信利用車間制御を実施可能であること（図4-9）　　を通知する。
[6] 周辺に存在する、通信利用車間制御可能な車両がわかること
[7] 自車のACC内部の異常判定により制御できない状態の場合は表示しない。
[8] 通信利用車間制御可能であることのドライバへの通知（後続車への要求）","






","ニ,カラ [1]
ニ,デ [2]
ニ,デ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]
ニ,カラ [7]
ニ [8]",,,
読む,よむ,,"
箇所 [2]
",,"本書 [1]

本仕様書 [3]","

",ー,"

",,F,"[1] はじめに本書を読むにあたっての、注意事項や参考情報をまとめている。
[2] 優先的に読む箇所
[3] 　　本仕様書を読み進める上で、参考となるドキュメントを示す","

","ニ,カラ [1]

ニ,カラ [3]",,,
説明する,せつめいする,,"

",,"妥当性 [1]
C-ACCを設計すること [2]
詳細 [3]","

",T,"
C-ACCを [2]
",,ー,"[1] 今後の要求定義や設計を進める上でのトレードオフ判断や、設変の妥当性が説明できるようにすることを目的としている。
[2] （国交省自動車局に対し、‘11/10に上記指針の範囲内でC-ACCを設計することを説明し、了承済）
[3] 各処理の詳細は、4.2節にて説明する。","

","カラ [1]
デ,カラ [2]
ニ,デ,カラ [3]",,,
関わる,かかわる,,"
文書 [2]


ECU [5]",,"ノウハウ [1]



","



",F,"影響範囲見積もり [1]

通信利用車間制御 [3]
送信 [4]
",,ー,"[1] ・思想/検討経緯を明確化してノウハウを社内蓄積（Ｑ）・設計時の変更箇所特定や影響範囲見積もりに活用（Ｑ、Ｄ）・ソフト/ハードに関わる関係部署への説明資料として活用（Ｑ）
[2] 　本書と関わる文書と、その関係図を図　13に示す。
[3] 通信利用車間制御に関わるさまざまな情報を、後続車のドライバに通知する。
[4] 先行車が要求Gを送信しているか否かに関わらず、同一の補正処理を行う
[5] C-ACCシステムと関わるECUとのCANによる通信負荷は、30%以下とする。","



","カラ [1]
ニ,カラ [2]
カラ [3]
カラ [4]
ニ,カラ [5]",,,
まとめる,まとめる,,"




",,"参考情報 [1]
（法規・知財・技術面 [2]
要求 [3]
情報 [4]
要求仕様 [5]
作業要領 [6]","




",T,"




",,ー,"[1] はじめに本書を読むにあたっての、注意事項や参考情報をまとめている。
[2] システム上位要求4章で要求定義を進めるにあたって、設計方針や、注意すべき制約条件（法規・知財・技術面）をまとめている。
[3] システム要求定義C-ACCシステムが満たすべき要求を、機能要求と非機能要求の面でまとめている
[4] C-ACCシステムの開発背景・開発コンセプト・開発目標・目標性能・日程・開発体制など、開発を進めるための起点となる情報をまとめた文書
[5] 15CY　ACCシステムの要求仕様をまとめた文書。
[6] 制御ソフトウェア開発部が定義する、開発プロセスの作業要領をまとめた文書","




","ニ,カラ [1]
ニ,カラ [2]
ニ,デ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]",,,
確定する,かくていする,,"
",,"
","
",T,"
",,ー,"[1] 先行車不確定状態：レーダの値を通信先行車のものと確定させない場合の制御
[2] レーダの値が通信先行車のものと確定させない状態のときには、安全側によった制御を行うこと。","
","ニ [1]
ニ [2]",,,
立てる,たてる,,,,章,,T,,,ー,・章立て、見出し（Wordスタイル）修正・ID修正（ただし、章立て変更に伴い文章全般に及ぶため、設変記号付与を省略）,,"ニ,カラ",,,
いる,いる,,"先行車 [1]
先行車 [2]
車両 [3]",自動詞,"

","

",F,"

",,ー,"[1] 通信可能な先行車がいれば、通信利用車間制御となるが、通信可能な先行車がいなければ、非通信車間制御（または定速制御）を行うモード。
[2] 通信可能な先行車がいれば、通信利用車間制御となるが、通信可能な先行車がいなければ、非通信車間制御（または定速制御）を行うモード。
[3] ※２：誤補足率直前にいない車両を、通信先行車として特定してしまう割合","

","ニ [1]
ニ,カラ [2]
ニ,カラ [3]",,,
捉える,とらえる,,言葉,,,,T,,,ー,「通信利用車間制御」と「C-ACC」は、ほぼ同義で扱われるが、「C-ACC」の言葉が、「C-ACC制御」と「C-ACCモード」で意味が異なって捉えられることがあり、混同を避けるため「通信利用車間制御」を用いることとする。,,"デ,デ,カラ",,,
接続する,せつぞくする,,"間 [1]
ワイヤーハーネス [2]
ワイヤーハーネス [3]",,"

","

",ー,"

",,ー,"[1] この際、ITS_ECU（車車間通信部分）とDSS#1_ECU（制御演算部分）の間はCANで接続されるため、通信負荷の制約が生じる。
[2] 工場検査工程において、アンテナケーブルおよびワイヤーハーネスが正常に接続されているかどうか、確認できること
[3] ITS　ECU交換時に、アンテナケーブルおよびワイヤーハーネスが正常に接続されているかどうか、確認できること","

","ニ,デ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]",,,
調整する,ちょうせいする,,"
",自他動詞,"加減速量 [1]
","
",ー,"
",,ー,"[1] -　フィルタリング・・・登坂路走行時や、駆動系の出力ずれ、制動系の効きのずれ等による要求Gと実Gの定常的な差を吸収するための処理-　補正処理　　　・・・先行車との位置関係や後続車の走行状態に応じて、先行車の加減速量を調整する処理-　状態に応じた処理・・・センサ値の信頼性が低いとき（先行車不確定状態のとき）に加速を抑制し安全側に制御させる処理およびC-ACCとACCの間での遷移時の挙動の違和感を低減するための処理　　-　変化率制限　　・・・乗り心地向上・燃費向上のために、フィードフォワード加減速の変化量に制限を設ける処理
[2] CAN通信量がPF設計時に調整した範囲内を超えないこと","
","ニ,カラ [1]
ニ [2]",,,
流れる,ながれる,,"　処理 [1]
　処理 [2]",自動詞,"
","
",F,"
",,ー,"[1] 図　4-1　処理の流れ（後続車側）
[2] 図　4-2　処理の流れ（先行車側）各処理の概要は下記のとおり。","
","
",,,
指す,さす,,,,レーダークルーズコントロールシステムのこと,,T,,,F,レーダークルーズコントロールシステムのことを指す。,,,,,
追従する,ついじゅうする,,"制御 [1]
制御 [2]

側 [4]
側 [5]

車両 [7]


後続車 [10]
後続車 [11]
車両 [12]
",,"









運転 [11]

","











",F,"先行車 [1]
先行車 [2]
先行車 [3]


（先行車 [6]


加速 [9]



先行車 [13]",,ー,"[1] 車車間通信を使って、先行車の加減速データを、即時に自車に反映させながら、先行車に追従する制御。
[2] 車車間通信を使わず、前方測距センサのみを用いて、先行車との車間を維持しながら、先行車に追従する制御。
[3] 通信利用車間制御が成立した際、後続車側に先行車に追従していることを示す表示を行う。
[4] 先行車（追従される側）と後続車（追従する側）で、必要となる装備が異なり、両車両が前後に並ぶことでC-ACC制御が可能となる。
[5] 先行車（追従される側）と後続車（追従する側）で、必要となる装備が異なり、両車両が前後に並ぶことでC-ACC制御が可能となる。
[6] ドライバからの入力種類として、①セット　　　（C-ACC制御を開始する）②キャンセル　（C-ACC制御を中断する）③設定車速変更　（前方に車両が存在しないときの、最大車速を設定する）④設定車間距離変更、（先行車に追従する際の車間距離を変更する）（⑤モード切替　（C-ACC　/　ACC　/　CCのうち、実施したい制御を切り替える））
[7] 周辺に存在する、通信利用車間制御で追従可能な車両の大まかな位置を表示する。
[8] 先行車の加減速を、自車の加減速に反映させることで、応答性よく追従すること
[9] 先行車の加速には、自車の加速を抑制しながら追従する。
[10] 後続車の車速が高速域であれば、先行車の加速量に対し、後続車は加速を抑制しながら追従する
[11] 先行車がラフな運転（急加速または急減速）を行ったとき、後続車がラフな運転を追従するのを防ぎたい
[12] 自車に通信利用車間制御により追従している車両は、表示しない
[13] また先行車に追従していることの通知に必要なデータを、無線通信部を介して送信する。","











","


ニ [4]
ニ [5]

ニ [7]
ニ [8]

ニ [10]
ニ [11]
ニ [12]
",,,
掛かる,かかる,,"
",自動詞,"
","
",F,"通信モジュール交換 [1]
ECU交換 [2]",,T,"[1] 通信モジュール交換に掛かる時間が15分以内であること
[2] 使用するECU交換に掛かる時間が15分以内であること","
","カラ [1]
カラ [2]",,,
求める,もとめる,,"
仕様 [2]
要求 [3]
処理 [4]",,"


","


",ー,"ACC [1]


",,ー,"[1] ACCに求められる仕様（制動力最大値、設定車間時間、表示、オーバーライドの考え方、など）が規定されている。
[2] ACCに求められる仕様が規定されている。
[3] 制御フロー内の各項目で求められている要求の概要を、図などを用いて説明。
[4] 制御フロー内の各項目で求められている処理を文面で定義。","


","カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,デ,カラ [4]",,,
乖離する,かいりする,,横位置,自動詞,,,F,,,F,※が所定時間以内に終了したが、そのときのレーダーで認識した横位置が、不確定状態への遷移前の横位置と乖離しているとき,,"ニ,ト",,,
許可する,きょかする,,"本書 [1]
",,"
動作 [2]","
",T,"
",,ー,"[1] 本書は、システム部署または、システム部署から許可された者のみ編集可能とすること。
[2] ただし、下記２システム　②先読みSOC制御（ミドル系）　③先読みEVモード制御（ロング系）については、C-ACC動作中の動作を許可する。","
","ニ,カラ,カラ [1]
ニ,カラ [2]",,,
処理する,しょりする,,"もの [1]
もの [2]",,"車輪速微分 [1]
発生Ｇ [2]","
",T,"
",,F,"[1] 車輪速微分をLPF処理したものを代入。
[2] 　　　（アクセルオーバーライドをどうするか未定）２）ACC制御中でないとき要求Ｇの代わりに発生Ｇを代入車輪速微分をLPF処理したものを代入。","
","ニ,カラ [1]
ニ,カラ [2]",,,
ずれる,ずれる,,出力,自動詞,,,F,,,ー,-　フィルタリング・・・登坂路走行時や、駆動系の出力ずれ、制動系の効きのずれ等による要求Gと実Gの定常的な差を吸収するための処理-　補正処理　　　・・・先行車との位置関係や後続車の走行状態に応じて、先行車の加減速量を調整する処理-　状態に応じた処理・・・センサ値の信頼性が低いとき（先行車不確定状態のとき）に加速を抑制し安全側に制御させる処理およびC-ACCとACCの間での遷移時の挙動の違和感を低減するための処理　　-　変化率制限　　・・・乗り心地向上・燃費向上のために、フィードフォワード加減速の変化量に制限を設ける処理,,"ニ,カラ",,,
よる,よる,,制御,,,,F,安全,,ー,レーダの値が通信先行車のものと確定させない状態のときには、安全側によった制御を行うこと。,,,,,
維持する,いじする,,,,車,,T,,,F,車車間通信を使わず、前方測距センサのみを用いて、先行車との車間を維持しながら、先行車に追従する制御。,,"ニ,カラ",,,
安定する,あんていする,,挙動,自動詞,,,F,,,ー,車両の挙動が安定しない場所では、使用できないようにすること,,"ニ,カラ",,,
選択する,せんたくする,,"モード [1]

「C-ACCモード」・・・ドライバ [3]
スイッチ [4]


C-ACCモード [7]
C-ACCモード [8]
C-ACCモード [9]
C-ACCモード [10]
C-ACCモード [11]
C-ACCモード [12]
C-ACCモード [13]
C-ACCモード [14]
C-ACCモード [15]
C-ACCモード [16]
C-ACCモード [17]
C-ACCモード [18]",,"

C-ACC [3]
非作動 [4]
車両 [5]
通信データ [6]











","
















",T,"
















",,F,"[1] ＜誤字修正＞・「2.2.1」　車間通信制御→通信利用車間制御・「2.2.1」　車間利用通信制御→通信利用車間制御・「3.3.3」　14CY→15CY・「4.2.1.1③」現在どのモードが選択されていることが→現在どのモードが選択されているか・「4.2.3.1③」　先行者→先行車・「4.2.7.2①」　候補者→候補車・「4.2.7.2③」　切り替えとき→切り替え時・「4.4.2.1」　14CY→15CY・「4.4.2.1」実装するとが決まっており→実装することが決まっており・「4.4.6.4」　適合乗数→適合定数
[2] ＜誤字修正＞・「2.2.1」　車間通信制御→通信利用車間制御・「2.2.1」　車間利用通信制御→通信利用車間制御・「3.3.3」　14CY→15CY・「4.2.1.1③」現在どのモードが選択されていることが→現在どのモードが選択されているか・「4.2.3.1③」　先行者→先行車・「4.2.7.2①」　候補者→候補車・「4.2.7.2③」　切り替えとき→切り替え時・「4.4.2.1」　14CY→15CY・「4.4.2.1」実装するとが決まっており→実装することが決まっており・「4.4.6.4」　適合乗数→適合定数
[3] （補足）「C-ACC制御」・・・通信利用車間制御と同義「C-ACCモード」・・・ドライバが操作スイッチでC-ACCを選択している状態。
[4] 運転者の意思により、システムの作動・非作動を選択できるスイッチを有し、スイッチを操作した場合にのみ作動すること。
[5] 周辺に存在する車車間通信が可能な車両のうち、通信利用車間制御が可能かつ自車の直前に存在する車両を選択する処理。
[6] 先行車の通信データを特定できていない状態から、自車の直前に存在する車両の通信データを選択する処理。
[7] C-ACCモードが選択されているとき
[8] C-ACCモードが選択されているとき
[9] C-ACCモードが選択されているとき
[10] C-ACCモードが選択されているとき
[11] C-ACCモードが選択されているとき
[12] C-ACCモードが選択されているとき
[13] C-ACCモードが選択されているとき
[14] C-ACCモードが選択されているとき
[15] 後続車がC-ACCモードが選択されているとき
[16] 後続車がC-ACCモードが選択されているとき
[17] 後続車がC-ACCモードが選択されているとき
[18] C-ACCモードが選択されているとき","
















","ニ,カラ [1]
ニ,カラ [2]
ニ,デ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]
ニ,カラ [7]
ニ,カラ [8]
ニ,カラ [9]
ニ,カラ [10]
ニ,カラ [11]
ニ,カラ [12]
ニ,カラ [13]
ニ,カラ [14]
ニ,カラ [15]
ニ,カラ [16]
ニ,カラ [17]
ニ,カラ [18]",,,
告知する,こくちする,,運転者,,,,ー,,,ー,故障により作動しない場合には、運転者が必要な操作が行えるよう音及び表示により告知すること,,ニ,,,
操作する,そうさする,,"
運転者 [2]",,"スイッチ [1]
主制動装置 [2]","
",T,"
",,F,"[1] 運転者の意思により、システムの作動・非作動を選択できるスイッチを有し、スイッチを操作した場合にのみ作動すること。
[2] 車両が停止している場合を除き、運転者が主制動装置を操作した場合には、システムの作動を解除するものであること","
","ニ,カラ [1]
ニ,カラ [2]",,,
算出する,さんしゅつする,,"


FF要求加速度 [4]



",,"先行車速度 [1]
先行車速度 [2]
先行車速度 [3]

要求加速度 [5]
要求加速度 [6]
要求加速度 [7]
要求加速度 [8]","






",T,"






",,F,"[1] 車車間通信で取得した先行車速度の自車進行方向成分と、自車のミリ波から算出した先行車速度が範囲内に入っていること範囲は、通信遅延による速度の変化、ｾﾝｼﾝｸﾞ誤差の各見積もりから決定
[2] 車車間通信で取得した先行車速度の時系列データと、ミリ波から算出した先行車速度の時系列データが合致していると判定できること
[3] 車車間通信で取得した先行車速度の時系列データ（30秒）と、ミリ波から算出した先行車速度の時系列データが合致していると判定できること
[4] 補正処理・フィルタリング・変化率制限を経て算出されたFF要求加速度に対し、状態管理処理（4.2.4章）で判断した状態に応じて、下記処理を行う。
[5] ＜機能概要＞・従来のACC制御（レーダで算出した要求加速度）に対し、車車間通信の情報で算出した要求加速度を加算し、C-ACCシステムの要求加速度として出力する。
[6] ＜機能概要＞・従来のACC制御（レーダで算出した要求加速度）に対し、車車間通信の情報で算出した要求加速度を加算し、C-ACCシステムの要求加速度として出力する。
[7] ・レーダの値から要求加速度を算出する方法は、フィードバック制御となり追従遅れが発生する。
[8] 要求加速度が算出できない車両については、要求加速度の代わりに発生加速度を利用する。","






","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ,カラ [3]
カラ [4]
ニ,デ,カラ [5]
ニ,デ,カラ [6]
ニ,カラ [7]
ニ,カラ [8]",,,
確立する,かくりつする,,"車車間通信 [1]
車車間通信 [2]
車車間通信 [3]
車車間通信 [4]
車車間通信 [5]
通信 [6]",自他動詞,"




","




",ー,"




",,ー,"[1] 通信利用車間制御が可能な車両と、車車間通信が確立しているとき
[2] 通信利用車間制御が可能な車両と、車車間通信が確立しているとき
[3] 通信利用車間制御が可能な車両と、車車間通信が確立しているとき
[4] 通信利用車間制御が可能な車両と、車車間通信が確立しているとき
[5] 通信利用車間制御が可能な車両と、車車間通信が確立しているとき
[6] 通信利用車間制御が可能な車両と、通信が確立しているとき","




","ニ [1]
ニ [2]
ニ [3]
ニ [4]
ニ [5]
ニ [6]",,,
使用する,しようする,,"


本システム [4]
電波 [5]



要求減速度 [9]
要求減速度 [10]


要求減速度 [13]",自他動詞,"もの [1]


電波 [4]



電源電圧 [8]
上流 [9]
上流 [10]
車輪速 [11]
車輪速 [12]
上流 [13]","











",ー,"









（実際 [11]
（実際 [12]
",,ー,"[1] ・測距センサは、ベースとなるACC、PCSと共通のものを使用すること。
[2] 一般道で使用しても、誤作動や不要作動による違和感のないこと。
[3] 他国で使用された場合において、現地での法規に抵触しないこと。
[4] 本システムは、電波を使用することを前提としており、国によって使用できる電波の使用周波数は決められているため（日本では700MHz帯に限る）
[5] 本システムは、電波を使用することを前提としており、国によって使用できる電波の使用周波数は決められているため（日本では700MHz帯に限る）
[6] 砂埃・塩害などがあっても使用できること
[7] 車両の挙動が安定しない場所では、使用できないようにすること
[8] 電源電圧が8.5V～16Vの間で、使用できること（数値はITS　ECUの定格を参考に設定）
[9] ただし要求駆動力、要求減速度は図4-13に示すとおり駆動側要求はTRCの下流、制動側要求はABSの上流を使用する。
[10] ただし要求駆動力、要求減速度は図4-13に示すとおり駆動側要求はTRCの下流、制動側要求はABSの上流を使用する。
[11] （実際には2番目に小さい車輪速を使用し2駆/4駆でロジックの共通化を図る）
[12] （実際には2番目に小さい車輪速を使用し2駆/4駆でロジックの共通化を図る）
[13] ただし要求駆動力、要求減速度は図4-13に示すとおり駆動側要求はTRCの下流、制動側要求はABSの上流を使用する。","











","ニ,カラ [1]
ニ,デ,カラ [2]
ニ,デ,カラ [3]
ニ,カラ [4]
カラ [5]
カラ [6]
カラ [7]
デ,カラ [8]
ニ,カラ [9]
ニ,カラ [10]
カラ [11]
カラ [12]
ニ,カラ [13]",,,
準備する,じゅんびする,,"
",,"設備 [1]
設備・ツール [2]","
",T,"
",,ー,"[1] 車車間通信が実施できていることを確認できる設備を準備すること。
[2] 車車間通信が実施できることを確認できる設備・ツールを準備すること。","
","ニ,カラ [1]
ニ,カラ [2]",,,
検知する,検知する,,,,先行車,,T,,,F,レーダーが先行車を新たに検知する前から有効なデータを受信中であるか、または受信しているデータのIDが前回特定したものと同一である,,,,,
用意する,よういする,,,,,,T,,,ー,実車での試験において、環境再現が困難なケースは、代替となる手段が用意できること。,,ニ,,,
確保する,かくほする,,,,応答性,,T,,,ー,要求Gの応答性を確保しつつ、定常的には実G（道のりに対する加速度）に収束するような値に要求Gをフィルタリングすること。,,"ニ,カラ",,,
保管する,ほかんする,,原紙,,,,T,,,ー,本書の保管方法については、データはBBS2で管理し、原紙は、システム部署にて施錠可能なロッカーにて保管すること。,,"デ,カラ",,,
考慮する,こうりょする,,"
相対速度差 [2]
加減速量 [3]
",,"通信遅延 [1]
時系列統計量 [2]
燃費向上/乗り心地向上/違和感低減 [3]
適用可能性 [4]","


",T,"


",,F,"[1] 相対速度差が範囲内であること範囲はｾﾝｼﾝｸﾞ誤差、通信遅延を考慮して設定する
[2] 相対速度差は時系列統計量も考慮する
[3] 先行車の加減速に応じて、後続車の加減速に反映させる際に、後続車の状態や周辺環境に応じて、燃費向上/乗り心地向上/違和感低減を考慮した加減速量を演算する。
[4] 他レーダへの適用可能性を考慮し、GSP-C、F-TEN製への展開も視野に入れる）","


","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]",,,
高める,たかめる,,,,競争力,,T,,,F,本書を整備・活用することで下記を実現し、システム開発の競争力を高めて「いいクルマづくり」に貢献する。,,"ニ,カラ",,,下げる
やめる,やめる,,"


",,"使うの [1]
（先行車特定 [2]
先行車特定 [3]
先行車特定 [4]",,T,"


",,F,"[1] 自車センサ（前方測距センサ）と通信データのそれぞれ値を常時比較し、不一致が起きた場合には、速やかに通信データを使うのをやめ、自律に移行するただし、自車センサ値が怪しい（ゴースト、外挿中など）時には、この限りではない。
[2] （先行車特定をやめる）
[3] 要求Gが通信データに含まれる場合、要求Gと実Gの差分が通常の路面勾配などでありえない値を取り続けた場合、先行車のデータが異常であると判定し、先行車特定をやめる
[4] 受信した速度の変化率が通常車両としてありえない値（0.35G相当以上）であった場合、先行車特定をやめる","


","


",,,始める
記載する,きさいする,,"文面 [1]

　] [3]
参照先 [4]



事項 [8]

",,"
説明 [2]
項目 [3]


詳細 [6]


（法規 [9]
手順 [10]","








",ー,"　本文書 [1]

　⇒　開発手戻り削減 [3]

本書 [5]
別紙 [6]
本書 [7]


修理書 [10]",,ー,"[1] ＜補足２＞　本文書内に、斜体で記載されている文面は、仕様書作成段階での作成者のコメントである。
[2] システム概要C-ACCシステムの概要や、動作の簡単な説明を記載している。
[3] 商品性(F)：他社比較した商品力の位置づけ見える化、機能・性能目標の関係者間での共有品質(Q)：思想/背景/要求の理由/トレース明確化　⇒　抜けのない仕様開発、機能安全対応コスト(C)：明確な要求に基づいた開発　⇒　開発項目の絞りこみ、商品力につながらない開発削減開発日程(D)：思想/背景/要求の理由/トレース明確化　⇒　開発手戻り削減、設変期間短縮具体的に実現する項目を下表に記載する([　]内は嬉しさを享受する部署)。
[4] 機密性の高い情報については、本書には直接記載せず、参照先のみ記載し、詳細は別紙に記載すること。
[5] 機密性の高い情報については、本書には直接記載せず、参照先のみ記載し、詳細は別紙に記載すること。
[6] 機密性の高い情報については、本書には直接記載せず、参照先のみ記載し、詳細は別紙に記載すること。
[7] 但し、やむを得ず本書に記載する場合は、公開範囲を限定すること。
[8] メーカー各社が通信利用型のシステムを設計する際に、本書を参照すればＡＳＶにおける検討結果がわかるように、支援の考え方、システムの概念、システム定義、通信コンテンツ、システム設計時に留意すべき事項など、基本設計にかかわるあらゆる事項が記載された文書。
[9] ここでは、商品性確保や効果を出すための基本的な考え方・コンセプトから定義される要求と、システム外部から規定される要求（法規など）を記載する。
[10] 無線通信の故障を診断できる手順を修理書に記載すること。","








","デ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ [4]
カラ [5]
カラ [6]
カラ [7]
ニ,カラ [8]
ニ,デ,カラ [9]
カラ [10]",,,
超える,こえる,,"


CAN通信量 [4]",,"3.0秒 [1]
（抑制要求加速度 [2]
電力消費量MAX [3]
範囲 [4]","


",T,"


",,F,"[1] ただし、車速40km/h以下においては、3.0秒を超えてよいこととする。
[2] 加算後の要求加速度が、ACCで出して良いとする上限値（抑制要求加速度）を超えないこと
[3] 車両全体の電力消費量からC-ACCに割り当てられた電力消費量MAXを超えないこと
[4] CAN通信量がPF設計時に調整した範囲内を超えないこと","


","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]",,,
参照する,さんしょうする,,,,本書,,T,,,F,メーカー各社が通信利用型のシステムを設計する際に、本書を参照すればＡＳＶにおける検討結果がわかるように、支援の考え方、システムの概念、システム定義、通信コンテンツ、システム設計時に留意すべき事項など、基本設計にかかわるあらゆる事項が記載された文書。,,"ニ,カラ",,,
分かる,わかる,,"変更点 [1]
原因 [2]",,"
情報 [2]","
",ー,"
",,ー,"[1] 変更時は、履歴及び変更点が分かるようにすること、また変更点の記載方法については、発行元であるシステム部署のルールに従うこと。
[2] 異常が発生した原因が分かるような情報をシステム内に残すこと","
","ニ,カラ [1]
ニ,カラ [2]",,,
ある,ある,,"影響 [1]
根拠 [2]
効果 [3]
可能性 [4]
２種 [5]

可能性 [7]
ヴァリエーション [8]
乖離 [9]
",自動詞,"








（電動パーキングブレーキ [10]","








",F,"

燃費向上 [3]






",,ー,"[1] ⇒メジャー変更：システム(製品)への影響がある変更⇒マイナー変更：システム(製品)への影響がない変更(誤記修正　etc.)
[2] ・目標性能に基づいた根拠のある評価実施（Q）・システム要求に基づいた抜け漏れのない評価実施（Q）
[3] ■燃費向上への効果先行車の加減速に対し、オーバーシュート（加速しすぎ、または減速しすぎ）で無駄な加減速をすることが無くなり、運動エネルギーの節約ができ、燃費向上に効果がある。
[4] また、通信利用車間制御が実現できていない状態であっても、周辺に存在する通信利用車間制御可能な車両の存在位置を表示し、通信利用車間制御を実現する可能性があることを通知する。
[5] ①アクセル（加速）②ブレーキ（制動）の２種がある。
[6] がある。
[7] 先行車の捕捉が完了したものの、先行車のレーンチェンジや、他車の割り込みなどの可能性があり、先行車の特定が不確定となっている状態
[8] 要求加速度を生成するための要求駆動力、要求減速度は車両のタイプによりヴァリエーションがある。
[9] 要求減速度について、発生減速度との乖離がある場合、要求減速度に補正を行う。
[10] EPB（電動パーキングブレーキ）の・あり・なしに適用できること","








","ニ,カラ [1]
ニ,カラ [2]
カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]
ニ,カラ [7]
ニ,カラ [8]
ニ,カラ [9]
ニ [10]",,,
してやる,してやる,,"
",,"
","
",,"
",,,"[1] システムとしてやりたいことを意識した効率的なハードソフト設計。
[2] システムとしてやりたいことを意識した効率的なソフト実装。","
","ト [1]
ト [2]",,,
